/vald/db/all.cfg                                                                
Lf------eV
     74.57400 12.05  -0.880   0.000  1.5 166.258  2.5 99.00 99.00 99.00  0.000  0.000   0.000  2p3 *4S   4p"' 4P    KP        2   2   2   2   2   2   2   2   2
     74.57400 12.05  -1.050   0.000  1.5 166.258  1.5 99.00 99.00 99.00  0.000  0.000   0.000  2p3 *4S   4p"' 4P    KP        2   2   2   2   2   2   2   2   2
     74.59000 13.05  -2.930   0.000  2.0 166.222  1.0 99.00 99.00 99.00  0.000  0.000   0.000  2p4 3P   4d' *1P     KP        2   2   2   2   2   2   2   2   2
     74.59400 13.05  -1.120   0.339  1.0 166.552  2.0 99.00 99.00 99.00  0.000  0.000   0.000  2p4 3P   4d' *3P     KP        2   2   2   2   2   2   2   2   2
     74.65800 13.05  -0.470   0.000  2.0 166.070  3.0 99.00 99.00 99.00  0.000  0.000   0.000  2p4 3P   4d' *3D     KP        2   2   2   2   2   2   2   2   2
     74.65800 13.05  -3.520   0.000  2.0 166.070  1.0 99.00 99.00 99.00  0.000  0.000   0.000  2p4 3P   4d' *3D     KP        2   2   2   2   2   2   2   2   2
     74.65800 13.05  -1.600   0.000  2.0 166.070  2.0 99.00 99.00 99.00  0.000  0.000   0.000  2p4 3P   4d' *3D     KP        2   2   2   2   2   2   2   2   2
     74.74200 13.05  -2.640   0.339  1.0 166.222  1.0 99.00 99.00 99.00  0.000  0.000   0.000  2p4 3P   4d' *1P     KP        2   2   2   2   2   2   2   2   2
     74.80400 13.05  -1.940   0.475  0.0 166.222  1.0 99.00 99.00 99.00  0.000  0.000   0.000  2p4 3P   4d' *1P     KP        2   2   2   2   2   2   2   2   2
     74.81100 13.05  -0.760   0.339  1.0 166.070  2.0 99.00 99.00 99.00  0.000  0.000   0.000  2p4 3P   4d' *3D     KP        2   2   2   2   2   2   2   2   2
     74.81100 13.05  -1.530   0.339  1.0 166.070  1.0 99.00 99.00 99.00  0.000  0.000   0.000  2p4 3P   4d' *3D     KP        2   2   2   2   2   2   2   2   2
     74.87200 13.05  -1.250   0.475  0.0 166.070  1.0 99.00 99.00 99.00  0.000  0.000   0.000  2p4 3P   4d' *3D     KP        2   2   2   2   2   2   2   2   2
     74.87500 24.06  -2.144   0.000  0.0 165.589  1.0  0.00  1.01  1.01  9.550 -7.585  -8.157s2p6 1S   sp6 6p 1P	            21  21  21  21  21  21  21  21  21
     74.95300 15.05  -0.770   0.000  0.0 165.417  1.0 99.00 99.00 99.00  0.000  0.000   0.000  2p6  1S   3d  *1P    NBS       3   3   3   3   3   3   3   3   3
     74.99100 12.05  -4.850   0.000  1.5 165.334  2.5 99.00 99.00 99.00  0.000  0.000   0.000  2p3 *4S   4d"  2D    KP        2   2   2   2   2   2   2   2   2
     74.99100 12.05  -5.820   0.000  1.5 165.334  1.5 99.00 99.00 99.00  0.000  0.000   0.000  2p3 *4S   4d"  2D    KP        2   2   2   2   2   2   2   2   2
     75.19400 14.05  -1.370   0.000  1.5 164.888  1.5 99.00 99.00 99.00  0.000  0.000   0.000  2p5 *2P   4s   2P    KP        3   3   3   3   3   3   3   3   3
     75.24800 12.05  -1.820   6.863  2.5 171.631  1.5 99.00 99.00 99.00  0.000  0.000   0.000  2p3 *2D   5d'  2D?   KP        2   2   2   2   2   2   2   2   2
     75.24800 12.05  -0.870   6.863  2.5 171.631  2.5 99.00 99.00 99.00  0.000  0.000   0.000  2p3 *2D   5d'  2D?   KP        2   2   2   2   2   2   2   2   2
     75.24900 12.05  -1.030   6.865  1.5 171.631  1.5 99.00 99.00 99.00  0.000  0.000   0.000  2p3 *2D   5d'  2D?   KP        2   2   2   2   2   2   2   2   2
     75.24900 12.05  -1.680   6.865  1.5 171.631  2.5 99.00 99.00 99.00  0.000  0.000   0.000  2p3 *2D   5d'  2D?   KP        2   2   2   2   2   2   2   2   2
     75.33400 12.05  -0.520   6.863  2.5 171.444  3.5 99.00 99.00 99.00  0.000  0.000   0.000  2p3 *2D   5d'  2F    KP        2   2   2   2   2   2   2   2   2
     75.33400 12.05  -1.550   6.863  2.5 171.444  2.5 99.00 99.00 99.00  0.000  0.000   0.000  2p3 *2D   5d'  2F    KP        2   2   2   2   2   2   2   2   2
     75.33500 12.05  -0.700   6.865  1.5 171.444  2.5 99.00 99.00 99.00  0.000  0.000   0.000  2p3 *2D   5d'  2F    KP        2   2   2   2   2   2   2   2   2
     75.48300 14.05  -2.090   0.631  0.5 164.888  1.5 99.00 99.00 99.00  0.000  0.000   0.000  2p5 *2P   4s   2P    KP        3   3   3   3   3   3   3   3   3
     75.64200 15.05   0.080   0.000  0.0 163.910  1.0 99.00 99.00 99.00  0.000  0.000   0.000  2p6  1S   3d  *3D    NBS       3   3   3   3   3   3   3   3   3
     75.83400 12.05  -2.060   0.000  1.5 163.495  2.5 99.00 99.00 99.00  0.000  0.000   0.000  2p3 *4S   5s   4P    KP        2   2   2   2   2   2   2   2   2
     75.89000 12.05  -2.190   0.000  1.5 163.375  1.5 99.00 99.00 99.00  0.000  0.000   0.000  2p3 *4S   5s   4P    KP        2   2   2   2   2   2   2   2   2
     76.53100 15.05  -2.380   0.000  0.0 162.006  1.0 99.00 99.00 99.00  0.000  0.000   0.000  2p6  1S   3d  *3P    NBS       3   3   3   3   3   3   3   3   3
